field,year,women_mentorship,number_women_inventors
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
civil engineering,1990,only new inventors,2
civil engineering,1990,only new inventors,2
civil engineering,1990,only senior inventors,1
civil engineering,1990,new and senior inventors,2
civil engineering,1990,new and senior inventors,2
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only new inventors,20
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,only senior inventors,16
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
pharmaceuticals,1990,new and senior inventors,14
civil engineering,1991,only new inventors,3
civil engineering,1991,only new inventors,3
civil engineering,1991,only new inventors,3
civil engineering,1991,only senior inventors,1
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only new inventors,19
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,only senior inventors,18
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
pharmaceuticals,1991,new and senior inventors,15
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only new inventors,7
civil engineering,1992,only senior inventors,2
civil engineering,1992,only senior inventors,2
civil engineering,1992,new and senior inventors,1
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only new inventors,30
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,only senior inventors,25
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
pharmaceuticals,1992,new and senior inventors,21
civil engineering,1993,only new inventors,6
civil engineering,1993,only new inventors,6
civil engineering,1993,only new inventors,6
civil engineering,1993,only new inventors,6
civil engineering,1993,only new inventors,6
civil engineering,1993,only new inventors,6
civil engineering,1993,new and senior inventors,1
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only new inventors,41
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,only senior inventors,26
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
pharmaceuticals,1993,new and senior inventors,32
civil engineering,1994,only new inventors,2
civil engineering,1994,only new inventors,2
civil engineering,1994,only senior inventors,3
civil engineering,1994,only senior inventors,3
civil engineering,1994,only senior inventors,3
civil engineering,1994,new and senior inventors,1
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only new inventors,25
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,only senior inventors,23
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
pharmaceuticals,1994,new and senior inventors,40
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only new inventors,8
civil engineering,1995,only senior inventors,4
civil engineering,1995,only senior inventors,4
civil engineering,1995,only senior inventors,4
civil engineering,1995,only senior inventors,4
civil engineering,1995,new and senior inventors,2
civil engineering,1995,new and senior inventors,2
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only new inventors,41
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
pharmaceuticals,1995,only senior inventors,39
