field,year,patent_category,gender_patent_feature,number_patents
civil engineering,1993,Solo,only men,1715
civil engineering,1993,Solo,with women,94
civil engineering,1993,Collaborative,only men,893
civil engineering,1993,Collaborative,with women,123
civil engineering,1994,Solo,only men,1681
civil engineering,1994,Solo,with women,85
civil engineering,1994,Collaborative,only men,937
civil engineering,1994,Collaborative,with women,123
civil engineering,1995,Solo,only men,1624
civil engineering,1995,Solo,with women,72
civil engineering,1995,Collaborative,only men,854
civil engineering,1995,Collaborative,with women,128
civil engineering,1996,Solo,only men,1760
civil engineering,1996,Solo,with women,82
civil engineering,1996,Collaborative,only men,1017
civil engineering,1996,Collaborative,with women,141
civil engineering,1997,Solo,only men,1690
civil engineering,1997,Solo,with women,84
civil engineering,1997,Collaborative,only men,947
civil engineering,1997,Collaborative,with women,137
civil engineering,1998,Solo,only men,1996
civil engineering,1998,Solo,with women,98
civil engineering,1998,Collaborative,only men,1213
civil engineering,1998,Collaborative,with women,183
civil engineering,1999,Solo,only men,2050
civil engineering,1999,Solo,with women,96
civil engineering,1999,Collaborative,only men,1276
civil engineering,1999,Collaborative,with women,212
civil engineering,2000,Solo,only men,2099
civil engineering,2000,Solo,with women,105
civil engineering,2000,Collaborative,only men,1387
civil engineering,2000,Collaborative,with women,224
civil engineering,2001,Solo,only men,2046
civil engineering,2001,Solo,with women,106
civil engineering,2001,Collaborative,only men,1375
civil engineering,2001,Collaborative,with women,207
civil engineering,2002,Solo,only men,1974
civil engineering,2002,Solo,with women,97
civil engineering,2002,Collaborative,only men,1323
civil engineering,2002,Collaborative,with women,239
civil engineering,2003,Solo,only men,1800
civil engineering,2003,Solo,with women,93
civil engineering,2003,Collaborative,only men,1405
civil engineering,2003,Collaborative,with women,216
civil engineering,2004,Solo,only men,1710
civil engineering,2004,Solo,with women,96
civil engineering,2004,Collaborative,only men,1300
civil engineering,2004,Collaborative,with women,269
civil engineering,2005,Solo,only men,1536
civil engineering,2005,Solo,with women,85
civil engineering,2005,Collaborative,only men,1153
civil engineering,2005,Collaborative,with women,222
civil engineering,2006,Solo,only men,1638
civil engineering,2006,Solo,with women,85
civil engineering,2006,Collaborative,only men,1395
civil engineering,2006,Collaborative,with women,265
civil engineering,2007,Solo,only men,1362
civil engineering,2007,Solo,with women,69
civil engineering,2007,Collaborative,only men,1205
civil engineering,2007,Collaborative,with women,209
civil engineering,2008,Solo,only men,1253
civil engineering,2008,Solo,with women,50
civil engineering,2008,Collaborative,only men,1182
civil engineering,2008,Collaborative,with women,211
civil engineering,2009,Solo,only men,1389
civil engineering,2009,Solo,with women,65
civil engineering,2009,Collaborative,only men,1250
civil engineering,2009,Collaborative,with women,224
civil engineering,2010,Solo,only men,1878
civil engineering,2010,Solo,with women,100
civil engineering,2010,Collaborative,only men,1798
civil engineering,2010,Collaborative,with women,335
civil engineering,2011,Solo,only men,1723
civil engineering,2011,Solo,with women,89
civil engineering,2011,Collaborative,only men,1651
civil engineering,2011,Collaborative,with women,351
civil engineering,2012,Solo,only men,1886
civil engineering,2012,Solo,with women,94
civil engineering,2012,Collaborative,only men,1940
civil engineering,2012,Collaborative,with women,361
civil engineering,2013,Solo,only men,2228
civil engineering,2013,Solo,with women,116
civil engineering,2013,Collaborative,only men,2249
civil engineering,2013,Collaborative,with women,413
civil engineering,2014,Solo,only men,2446
civil engineering,2014,Solo,with women,131
civil engineering,2014,Collaborative,only men,2471
civil engineering,2014,Collaborative,with women,559
civil engineering,2015,Solo,only men,2628
civil engineering,2015,Solo,with women,156
civil engineering,2015,Collaborative,only men,2648
civil engineering,2015,Collaborative,with women,574
civil engineering,2016,Solo,only men,2508
civil engineering,2016,Solo,with women,155
civil engineering,2016,Collaborative,only men,2932
civil engineering,2016,Collaborative,with women,621
civil engineering,2017,Solo,only men,2764
civil engineering,2017,Solo,with women,139
civil engineering,2017,Collaborative,only men,3015
civil engineering,2017,Collaborative,with women,730
civil engineering,2018,Solo,only men,2790
civil engineering,2018,Solo,with women,142
civil engineering,2018,Collaborative,only men,3273
civil engineering,2018,Collaborative,with women,748
civil engineering,2019,Solo,only men,3155
civil engineering,2019,Solo,with women,198
civil engineering,2019,Collaborative,only men,3832
civil engineering,2019,Collaborative,with women,888
civil engineering,2020,Solo,only men,2916
civil engineering,2020,Solo,with women,148
civil engineering,2020,Collaborative,only men,3739
civil engineering,2020,Collaborative,with women,892
civil engineering,2021,Solo,only men,2440
civil engineering,2021,Solo,with women,134
civil engineering,2021,Collaborative,only men,3360
civil engineering,2021,Collaborative,with women,819
pharmaceuticals,1976,Solo,only men,310
pharmaceuticals,1976,Solo,with women,18
pharmaceuticals,1976,Collaborative,only men,285
pharmaceuticals,1976,Collaborative,with women,30
pharmaceuticals,1977,Solo,only men,331
pharmaceuticals,1977,Solo,with women,15
pharmaceuticals,1977,Collaborative,only men,317
pharmaceuticals,1977,Collaborative,with women,55
pharmaceuticals,1978,Solo,only men,462
pharmaceuticals,1978,Solo,with women,18
pharmaceuticals,1978,Collaborative,only men,318
pharmaceuticals,1978,Collaborative,with women,82
pharmaceuticals,1979,Solo,only men,284
pharmaceuticals,1979,Solo,with women,10
pharmaceuticals,1979,Collaborative,only men,279
pharmaceuticals,1979,Collaborative,with women,45
pharmaceuticals,1980,Solo,only men,301
pharmaceuticals,1980,Solo,with women,21
pharmaceuticals,1980,Collaborative,only men,287
pharmaceuticals,1980,Collaborative,with women,83
pharmaceuticals,1981,Solo,only men,319
pharmaceuticals,1981,Solo,with women,20
pharmaceuticals,1981,Collaborative,only men,319
pharmaceuticals,1981,Collaborative,with women,60
pharmaceuticals,1982,Solo,only men,301
pharmaceuticals,1982,Solo,with women,15
pharmaceuticals,1982,Collaborative,only men,297
pharmaceuticals,1982,Collaborative,with women,54
pharmaceuticals,1983,Solo,only men,283
pharmaceuticals,1983,Solo,with women,21
pharmaceuticals,1983,Collaborative,only men,242
pharmaceuticals,1983,Collaborative,with women,48
pharmaceuticals,1984,Solo,only men,383
pharmaceuticals,1984,Solo,with women,30
pharmaceuticals,1984,Collaborative,only men,326
pharmaceuticals,1984,Collaborative,with women,104
pharmaceuticals,1985,Solo,only men,311
pharmaceuticals,1985,Solo,with women,31
pharmaceuticals,1985,Collaborative,only men,365
pharmaceuticals,1985,Collaborative,with women,106
pharmaceuticals,1986,Solo,only men,316
pharmaceuticals,1986,Solo,with women,28
pharmaceuticals,1986,Collaborative,only men,393
pharmaceuticals,1986,Collaborative,with women,110
pharmaceuticals,1987,Solo,only men,403
pharmaceuticals,1987,Solo,with women,38
pharmaceuticals,1987,Collaborative,only men,500
pharmaceuticals,1987,Collaborative,with women,174
pharmaceuticals,1988,Solo,only men,360
pharmaceuticals,1988,Solo,with women,34
pharmaceuticals,1988,Collaborative,only men,472
pharmaceuticals,1988,Collaborative,with women,202
pharmaceuticals,1989,Solo,only men,488
pharmaceuticals,1989,Solo,with women,49
pharmaceuticals,1989,Collaborative,only men,663
pharmaceuticals,1989,Collaborative,with women,282
pharmaceuticals,1990,Solo,only men,476
pharmaceuticals,1990,Solo,with women,36
pharmaceuticals,1990,Collaborative,only men,655
pharmaceuticals,1990,Collaborative,with women,302
pharmaceuticals,1991,Solo,only men,493
pharmaceuticals,1991,Solo,with women,60
pharmaceuticals,1991,Collaborative,only men,770
pharmaceuticals,1991,Collaborative,with women,308
pharmaceuticals,1992,Solo,only men,522
pharmaceuticals,1992,Solo,with women,51
pharmaceuticals,1992,Collaborative,only men,744
pharmaceuticals,1992,Collaborative,with women,404
pharmaceuticals,1993,Solo,only men,549
pharmaceuticals,1993,Solo,with women,60
pharmaceuticals,1993,Collaborative,only men,897
pharmaceuticals,1993,Collaborative,with women,446
pharmaceuticals,1994,Solo,only men,505
pharmaceuticals,1994,Solo,with women,52
pharmaceuticals,1994,Collaborative,only men,873
pharmaceuticals,1994,Collaborative,with women,449
pharmaceuticals,1995,Solo,only men,558
pharmaceuticals,1995,Solo,with women,51
pharmaceuticals,1995,Collaborative,only men,1045
pharmaceuticals,1995,Collaborative,with women,562
pharmaceuticals,1996,Solo,only men,713
pharmaceuticals,1996,Solo,with women,89
pharmaceuticals,1996,Collaborative,only men,1346
pharmaceuticals,1996,Collaborative,with women,827
pharmaceuticals,1997,Solo,only men,963
pharmaceuticals,1997,Solo,with women,111
pharmaceuticals,1997,Collaborative,only men,2050
pharmaceuticals,1997,Collaborative,with women,1227
pharmaceuticals,1998,Solo,only men,1193
pharmaceuticals,1998,Solo,with women,172
pharmaceuticals,1998,Collaborative,only men,2304
pharmaceuticals,1998,Collaborative,with women,1639
pharmaceuticals,1999,Solo,only men,1208
pharmaceuticals,1999,Solo,with women,167
pharmaceuticals,1999,Collaborative,only men,2243
pharmaceuticals,1999,Collaborative,with women,1765
pharmaceuticals,2000,Solo,only men,1112
pharmaceuticals,2000,Solo,with women,172
pharmaceuticals,2000,Collaborative,only men,2116
pharmaceuticals,2000,Collaborative,with women,1597
pharmaceuticals,2001,Solo,only men,1237
pharmaceuticals,2001,Solo,with women,181
pharmaceuticals,2001,Collaborative,only men,2234
pharmaceuticals,2001,Collaborative,with women,1786
pharmaceuticals,2002,Solo,only men,1201
pharmaceuticals,2002,Solo,with women,166
pharmaceuticals,2002,Collaborative,only men,2332
pharmaceuticals,2002,Collaborative,with women,1943
pharmaceuticals,2003,Solo,only men,1180
pharmaceuticals,2003,Solo,with women,157
pharmaceuticals,2003,Collaborative,only men,2074
pharmaceuticals,2003,Collaborative,with women,1797
pharmaceuticals,2004,Solo,only men,825
pharmaceuticals,2004,Solo,with women,120
pharmaceuticals,2004,Collaborative,only men,1661
pharmaceuticals,2004,Collaborative,with women,1383
pharmaceuticals,2005,Solo,only men,726
pharmaceuticals,2005,Solo,with women,99
pharmaceuticals,2005,Collaborative,only men,1489
pharmaceuticals,2005,Collaborative,with women,1350
pharmaceuticals,2006,Solo,only men,899
pharmaceuticals,2006,Solo,with women,136
pharmaceuticals,2006,Collaborative,only men,1909
pharmaceuticals,2006,Collaborative,with women,1740
pharmaceuticals,2007,Solo,only men,790
pharmaceuticals,2007,Solo,with women,117
pharmaceuticals,2007,Collaborative,only men,1655
pharmaceuticals,2007,Collaborative,with women,1766
pharmaceuticals,2008,Solo,only men,730
pharmaceuticals,2008,Solo,with women,128
pharmaceuticals,2008,Collaborative,only men,1626
pharmaceuticals,2008,Collaborative,with women,1743
pharmaceuticals,2009,Solo,only men,760
pharmaceuticals,2009,Solo,with women,133
pharmaceuticals,2009,Collaborative,only men,1718
pharmaceuticals,2009,Collaborative,with women,1936
pharmaceuticals,2010,Solo,only men,1170
pharmaceuticals,2010,Solo,with women,199
pharmaceuticals,2010,Collaborative,only men,2398
pharmaceuticals,2010,Collaborative,with women,2500
pharmaceuticals,2011,Solo,only men,1162
pharmaceuticals,2011,Solo,with women,180
pharmaceuticals,2011,Collaborative,only men,2368
pharmaceuticals,2011,Collaborative,with women,2421
pharmaceuticals,2012,Solo,only men,1342
pharmaceuticals,2012,Solo,with women,222
pharmaceuticals,2012,Collaborative,only men,2714
pharmaceuticals,2012,Collaborative,with women,2987
pharmaceuticals,2013,Solo,only men,1559
pharmaceuticals,2013,Solo,with women,238
pharmaceuticals,2013,Collaborative,only men,3038
pharmaceuticals,2013,Collaborative,with women,3455
pharmaceuticals,2014,Solo,only men,1588
pharmaceuticals,2014,Solo,with women,253
pharmaceuticals,2014,Collaborative,only men,3338
pharmaceuticals,2014,Collaborative,with women,3631
pharmaceuticals,2015,Solo,only men,1618
pharmaceuticals,2015,Solo,with women,239
pharmaceuticals,2015,Collaborative,only men,3207
pharmaceuticals,2015,Collaborative,with women,3508
pharmaceuticals,2016,Solo,only men,1593
pharmaceuticals,2016,Solo,with women,230
pharmaceuticals,2016,Collaborative,only men,3188
pharmaceuticals,2016,Collaborative,with women,3386
pharmaceuticals,2017,Solo,only men,1630
pharmaceuticals,2017,Solo,with women,292
pharmaceuticals,2017,Collaborative,only men,3464
pharmaceuticals,2017,Collaborative,with women,3696
pharmaceuticals,2018,Solo,only men,1693
pharmaceuticals,2018,Solo,with women,249
pharmaceuticals,2018,Collaborative,only men,3196
pharmaceuticals,2018,Collaborative,with women,3403
pharmaceuticals,2019,Solo,only men,1671
pharmaceuticals,2019,Solo,with women,274
pharmaceuticals,2019,Collaborative,only men,3436
pharmaceuticals,2019,Collaborative,with women,3653
pharmaceuticals,2020,Solo,only men,1657
pharmaceuticals,2020,Solo,with women,267
pharmaceuticals,2020,Collaborative,only men,3555
pharmaceuticals,2020,Collaborative,with women,3600
pharmaceuticals,2021,Solo,only men,1712
pharmaceuticals,2021,Solo,with women,224
pharmaceuticals,2021,Collaborative,only men,3399
pharmaceuticals,2021,Collaborative,with women,3434
